,dataset,component,mean,sd
0,train,ERN,-4.9779827325968474e-06,4.648980650525544e-06
1,train,Pe,1.5079863294720101e-05,6.784692060779778e-06
2,test,ERN,-4.480552259882144e-06,3.929892327333197e-06
3,test,Pe,1.3666168757880335e-05,8.161524201943846e-06
