,Train dataset,,,,Test dataset,,,
ROI,Participant number,Between subject,Within subject,Internal consistency,Participant number,Between subject,Within subject,Internal consistency
,43,,3.81E-05,.59,,,,
,44,,2.93E-05,.93,,,,
,45,,2.78E-05,.80,,,,
,46,,2.08E-05,.98,,,,
,47,,3.15E-05,.90,,,,
,48,,2.20E-05,.97,,,,
,49,,2.58E-05,.95,,,,
,50,,2.76E-05,.90,,,,
,51,,3.10E-05,.74,,,,
,52,,2.32E-05,.82,,,,
,53,,3.36E-05,.84,,,,
,54,,2.30E-05,.93,,,,
,55,,2.71E-05,.84,,,,
,56,,2.84E-05,.91,,,,
,57,,2.83E-05,.89,,,,
,58,,2.76E-05,.87,,,,
,59,,2.12E-05,.96,,,,
,60,,1.03E-05,.96,,,,
,61,,2.03E-05,.93,,,,
,62,,2.18E-05,.79,,,,
,63,,2.26E-05,.78,,,,
,64,,2.02E-05,.92,,,,
,65,,4.50E-05,.74,,,,
,66,,3.05E-05,.92,,,,
,67,,2.52E-05,.96,,,,
,68,,2.57E-05,.92,,,,
,69,,2.50E-05,.95,,,,
,70,,2.84E-05,.81,,,,
,71,,3.21E-05,.89,,,,
,72,,2.10E-05,.94,,,,
,73,,2.33E-05,.97,,,,
,74,,2.14E-05,.96,,,,
,75,,2.69E-05,.97,,,,
,76,,3.36E-05,.92,,,,
,77,,1.96E-05,.96,,,,
,78,,3.16E-05,.91,,,,
,79,,2.88E-05,.91,,,,
,80,,2.90E-05,.86,,,,
,81,,1.42E-05,.94,,,,
,82,,2.52E-05,.85,,,,
,83,,1.10E-05,.96,,,,
,84,,5.04E-05,.69,,,,
,85,,3.49E-05,.82,,,,
,86,,2.52E-05,.84,,,,
,87,,1.58E-05,.98,,,,
,88,,4.10E-05,.84,,,,
,89,,2.32E-05,.96,,,,
,90,,2.56E-05,.92,,,,
,91,,2.49E-05,.97,,,,
,92,,3.10E-05,.91,,,,
,93,,2.41E-05,.95,,,,
,94,,2.79E-05,.89,,,,
,95,,3.75E-05,.82,,,,
,96,,2.28E-05,.94,,,,
